StockCode,Date,Quantity
22423,2011-05-24,18
22423,2011-05-25,32
22423,2011-05-26,38
22423,2011-05-27,65
22423,2011-05-29,3
22423,2011-05-31,44
22423,2011-06-01,16
22423,2011-06-02,56
22423,2011-06-03,134
22423,2011-06-05,13
22423,2011-06-06,16
22423,2011-06-07,11
22423,2011-06-08,57
22423,2011-06-09,50
22423,2011-06-10,69
22423,2011-06-12,5
22423,2011-06-13,11
22423,2011-06-14,21
22423,2011-06-15,46
22423,2011-06-16,19
22423,2011-06-17,71
22423,2011-06-19,6
22423,2011-06-20,4
22423,2011-06-21,54
22423,2011-06-22,12
22423,2011-06-23,32
22423,2011-06-24,21
22423,2011-06-26,20
22423,2011-06-27,4
22423,2011-06-28,19
22423,2011-06-29,4
22423,2011-06-30,13
22423,2011-07-01,23
22423,2011-07-03,22
22423,2011-07-04,20
22423,2011-07-05,33
22423,2011-07-06,24
22423,2011-07-07,31
22423,2011-07-08,23
22423,2011-07-11,14
22423,2011-07-12,43
22423,2011-07-13,4
22423,2011-07-14,211
22423,2011-07-15,9
22423,2011-07-17,11
22423,2011-07-18,20
22423,2011-07-19,59
22423,2011-07-20,27
22423,2011-07-21,96
22423,2011-07-22,86
22423,2011-07-24,53
22423,2011-07-25,19
22423,2011-07-26,16
22423,2011-07-27,6
22423,2011-07-28,263
22423,2011-07-29,20
22423,2011-07-31,18
22423,2011-08-01,19
22423,2011-08-02,12
22423,2011-08-03,28
22423,2011-08-04,80
22423,2011-08-05,20
22423,2011-08-07,21
22423,2011-08-08,59
22423,2011-08-09,22
22423,2011-08-10,37
22423,2011-08-11,42
22423,2011-08-12,18
22423,2011-08-15,35
22423,2011-08-16,13
22423,2011-08-17,36
22423,2011-08-18,109
22423,2011-08-19,7
22423,2011-08-21,10
22423,2011-08-22,119
22423,2011-08-23,24
22423,2011-08-24,38
22423,2011-08-25,33
22423,2011-08-26,28
22423,2011-08-30,12
22423,2011-08-31,21
22423,2011-09-01,66
22423,2011-09-02,42
22423,2011-09-04,6
22423,2011-09-05,18
22423,2011-09-06,24
22423,2011-09-07,12
22423,2011-09-08,24
22423,2011-09-09,8
22423,2011-09-11,64
22423,2011-09-12,56
22423,2011-09-13,58
22423,2011-09-14,21
22423,2011-09-15,65
22423,2011-09-16,13
22423,2011-09-18,6
22423,2011-09-19,23
22423,2011-09-20,19
22423,2011-09-21,19
22423,2011-09-22,48
22423,2011-09-23,16
22423,2011-09-25,22
22423,2011-09-26,15
22423,2011-09-27,47
22423,2011-09-28,14
22423,2011-09-29,60
22423,2011-09-30,8
22423,2011-10-02,5
22423,2011-10-03,26
22423,2011-10-04,47
22423,2011-10-05,228
22423,2011-10-06,75
22423,2011-10-07,13
22423,2011-10-09,20
22423,2011-10-10,22
22423,2011-10-11,26
22423,2011-10-12,38
22423,2011-10-13,57
22423,2011-10-14,49
22423,2011-10-16,22
22423,2011-10-17,50
22423,2011-10-18,28
22423,2011-10-19,46
22423,2011-10-20,109
22423,2011-10-21,29
22423,2011-10-23,6
22423,2011-10-24,5
22423,2011-10-25,13
22423,2011-10-26,18
22423,2011-10-27,28
22423,2011-10-28,52
22423,2011-10-30,19
22423,2011-10-31,52
22423,2011-11-01,21
22423,2011-11-02,5
22423,2011-11-03,65
22423,2011-11-04,111
22423,2011-11-06,25
22423,2011-11-07,35
22423,2011-11-08,11
22423,2011-11-09,16
22423,2011-11-10,46
22423,2011-11-11,32
22423,2011-11-13,29
22423,2011-11-14,8
22423,2011-11-15,45
22423,2011-11-16,15
22423,2011-11-17,49
22423,2011-11-18,110
22423,2011-11-20,8
22423,2011-11-21,50
22423,2011-11-22,29
22423,2011-11-23,47
22423,2011-11-24,82
22423,2011-11-25,23
22423,2011-11-27,30
22423,2011-11-28,34
22423,2011-11-29,93
22423,2011-11-30,35
22423,2011-12-01,34
22423,2011-12-02,20
22423,2011-12-04,20
22423,2011-12-05,36
22423,2011-12-06,160
22423,2011-12-07,130
22423,2011-12-08,32
22423,2011-12-09,18
47566,2010-12-03,11
47566,2010-12-05,8
47566,2010-12-06,17
47566,2010-12-07,4
47566,2010-12-08,59
47566,2010-12-09,63
47566,2010-12-10,2
47566,2010-12-12,20
47566,2010-12-13,7
47566,2010-12-14,10
47566,2010-12-16,5
47566,2010-12-17,2
47566,2010-12-19,5
47566,2010-12-20,13
47566,2010-12-21,8
47566,2010-12-22,3
47566,2011-01-04,66
47566,2011-01-05,50
47566,2011-01-06,18
47566,2011-01-07,11
47566,2011-01-10,20
47566,2011-01-11,16
47566,2011-01-12,23
47566,2011-01-13,12
47566,2011-01-14,14
47566,2011-01-17,24
47566,2011-01-18,8
47566,2011-01-19,5
47566,2011-01-20,7
47566,2011-01-21,12
47566,2011-01-23,13
47566,2011-01-24,17
47566,2011-01-25,71
47566,2011-01-26,5
47566,2011-01-27,20
47566,2011-01-28,53
47566,2011-01-30,5
47566,2011-01-31,16
47566,2011-02-01,113
47566,2011-02-02,11
47566,2011-02-03,15
47566,2011-02-04,58
47566,2011-02-06,19
47566,2011-02-07,21
47566,2011-02-08,11
47566,2011-02-09,105
47566,2011-02-10,37
47566,2011-02-11,114
47566,2011-02-13,4
47566,2011-02-14,13
47566,2011-02-15,6
47566,2011-02-16,143
47566,2011-02-17,12
47566,2011-02-18,10
47566,2011-02-20,5
47566,2011-02-22,16
47566,2011-02-23,70
47566,2011-02-24,25
47566,2011-02-25,19
47566,2011-02-27,27
47566,2011-02-28,71
47566,2011-03-01,30
47566,2011-03-02,76
47566,2011-03-03,54
47566,2011-03-04,15
47566,2011-03-06,9
47566,2011-03-07,42
47566,2011-03-08,21
47566,2011-03-09,23
47566,2011-03-10,23
47566,2011-03-11,94
47566,2011-03-13,2
47566,2011-03-14,93
47566,2011-03-15,21
47566,2011-03-16,95
47566,2011-03-17,161
47566,2011-03-18,90
47566,2011-03-20,146
47566,2011-03-21,28
47566,2011-03-22,89
47566,2011-03-23,123
47566,2011-03-24,17
47566,2011-03-25,32
47566,2011-03-27,36
47566,2011-03-28,34
47566,2011-03-29,172
47566,2011-03-30,129
47566,2011-03-31,11
47566,2011-04-01,17
47566,2011-04-03,13
47566,2011-04-04,43
47566,2011-04-05,31
47566,2011-04-06,60
47566,2011-04-07,124
47566,2011-04-08,171
47566,2011-04-10,31
47566,2011-04-11,127
47566,2011-04-12,123
47566,2011-04-13,30
47566,2011-04-14,157
47566,2011-04-15,85
47566,2011-04-17,20
47566,2011-04-18,91
47566,2011-04-19,103
47566,2011-04-20,247
47566,2011-04-21,207
47566,2011-04-26,127
47566,2011-04-27,107
47566,2011-04-28,23
47566,2011-05-01,19
47566,2011-05-03,279
47566,2011-05-04,217
47566,2011-05-05,155
47566,2011-05-06,132
47566,2011-05-08,201
47566,2011-05-09,146
47566,2011-05-10,338
47566,2011-05-11,61
47566,2011-05-12,158
47566,2011-05-13,45
47566,2011-05-15,8
47566,2011-05-16,138
47566,2011-05-17,199
47566,2011-05-18,74
47566,2011-05-19,85
47566,2011-05-20,181
47566,2011-05-22,77
47566,2011-05-23,178
47566,2011-05-24,100
47566,2011-05-25,185
47566,2011-05-26,56
47566,2011-05-27,312
47566,2011-05-29,8
47566,2011-05-31,209
47566,2011-06-01,133
47566,2011-06-02,23
47566,2011-06-03,19
47566,2011-06-05,50
47566,2011-06-06,32
47566,2011-06-07,47
47566,2011-06-08,386
47566,2011-06-09,77
47566,2011-06-10,101
47566,2011-06-12,20
47566,2011-06-13,29
47566,2011-06-14,143
47566,2011-06-15,98
47566,2011-06-16,34
47566,2011-06-17,127
47566,2011-06-19,76
47566,2011-06-20,321
47566,2011-06-21,98
47566,2011-06-22,39
47566,2011-06-23,51
47566,2011-06-24,89
47566,2011-06-27,16
47566,2011-06-28,103
47566,2011-06-29,36
47566,2011-06-30,73
47566,2011-07-01,24
47566,2011-07-03,24
47566,2011-07-04,66
47566,2011-07-05,259
47566,2011-07-06,31
47566,2011-07-07,294
47566,2011-07-08,249
47566,2011-07-10,2
47566,2011-07-11,134
47566,2011-07-12,38
47566,2011-07-13,30
47566,2011-07-14,58
47566,2011-07-15,77
47566,2011-07-17,17
47566,2011-07-18,87
47566,2011-07-19,323
47566,2011-07-20,250
47566,2011-07-21,136
47566,2011-07-22,111
47566,2011-07-24,28
47566,2011-07-25,32
47566,2011-07-26,118
47566,2011-07-27,181
47566,2011-07-28,106
47566,2011-07-29,57
47566,2011-07-31,26
47566,2011-08-01,25
47566,2011-08-02,94
47566,2011-08-03,53
47566,2011-08-04,221
47566,2011-08-05,23
47566,2011-08-07,15
47566,2011-08-08,57
47566,2011-08-09,50
47566,2011-08-10,134
47566,2011-08-11,80
47566,2011-08-12,9
47566,2011-08-15,16
47566,2011-08-16,70
47566,2011-08-17,115
47566,2011-08-18,112
47566,2011-08-19,46
47566,2011-08-21,43
47566,2011-08-22,28
47566,2011-08-23,119
47566,2011-08-24,137
47566,2011-08-25,124
47566,2011-08-26,54
47566,2011-08-28,9
47566,2011-08-30,60
47566,2011-08-31,1
47566,2011-09-01,64
47566,2011-09-02,43
47566,2011-09-04,39
47566,2011-09-05,110
47566,2011-09-06,91
47566,2011-09-07,13
47566,2011-09-08,8
47566,2011-09-09,51
47566,2011-09-11,27
47566,2011-09-12,19
47566,2011-09-13,89
47566,2011-09-14,25
47566,2011-09-15,164
47566,2011-09-16,22
47566,2011-09-18,15
47566,2011-09-19,7
47566,2011-09-20,25
47566,2011-09-21,17
47566,2011-09-22,53
47566,2011-09-23,26
47566,2011-09-25,30
47566,2011-09-26,11
47566,2011-09-27,48
47566,2011-09-28,78
47566,2011-09-29,32
47566,2011-09-30,30
47566,2011-10-02,10
47566,2011-10-03,29
47566,2011-10-04,37
47566,2011-10-05,35
47566,2011-10-06,18
47566,2011-10-07,64
47566,2011-10-10,2
47566,2011-10-11,28
47566,2011-10-12,16
47566,2011-10-13,29
47566,2011-10-14,17
47566,2011-10-16,14
47566,2011-10-17,15
47566,2011-10-18,136
47566,2011-10-19,10
47566,2011-10-20,24
47566,2011-10-21,26
47566,2011-10-24,2
47566,2011-10-25,27
47566,2011-10-26,7
47566,2011-10-27,28
47566,2011-10-28,9
47566,2011-10-30,5
47566,2011-10-31,32
47566,2011-11-01,5
47566,2011-11-02,8
47566,2011-11-03,4
47566,2011-11-04,39
47566,2011-11-06,14
47566,2011-11-07,18
47566,2011-11-08,14
47566,2011-11-09,29
47566,2011-11-10,40
47566,2011-11-11,28
47566,2011-11-13,6
47566,2011-11-14,3
47566,2011-11-15,58
47566,2011-11-16,108
47566,2011-11-17,18
47566,2011-11-18,21
47566,2011-11-20,10
47566,2011-11-21,324
47566,2011-11-22,13
47566,2011-11-23,32
47566,2011-11-24,56
47566,2011-11-25,27
47566,2011-11-27,3
47566,2011-11-28,9
47566,2011-11-29,10
47566,2011-11-30,19
47566,2011-12-01,8
47566,2011-12-02,40
47566,2011-12-04,19
47566,2011-12-05,16
47566,2011-12-06,21
47566,2011-12-07,3
47566,2011-12-08,22
47566,2011-12-09,7
85099B,2010-12-01,556
85099B,2010-12-02,48
85099B,2010-12-03,49
85099B,2010-12-05,39
85099B,2010-12-06,157
85099B,2010-12-07,343
85099B,2010-12-08,205
85099B,2010-12-09,21
85099B,2010-12-10,125
85099B,2010-12-12,1
85099B,2010-12-13,28
85099B,2010-12-14,63
85099B,2010-12-15,80
85099B,2010-12-16,210
85099B,2010-12-17,45
85099B,2010-12-19,1
85099B,2010-12-20,47
85099B,2010-12-21,122
85099B,2010-12-23,11
85099B,2011-01-04,27
85099B,2011-01-05,436
85099B,2011-01-06,354
85099B,2011-01-07,514
85099B,2011-01-09,43
85099B,2011-01-10,57
85099B,2011-01-11,1
85099B,2011-01-12,4
85099B,2011-01-13,33
85099B,2011-01-14,120
85099B,2011-01-16,10
85099B,2011-01-17,37
85099B,2011-01-18,87
85099B,2011-01-19,242
85099B,2011-01-20,4
85099B,2011-01-21,124
85099B,2011-01-23,100
85099B,2011-01-24,56
85099B,2011-01-25,393
85099B,2011-01-26,1
85099B,2011-01-27,51
85099B,2011-01-28,1
85099B,2011-01-31,52
85099B,2011-02-01,390
85099B,2011-02-02,310
85099B,2011-02-03,126
85099B,2011-02-04,23
85099B,2011-02-06,64
85099B,2011-02-07,30
85099B,2011-02-08,139
85099B,2011-02-09,36
85099B,2011-02-11,43
85099B,2011-02-13,40
85099B,2011-02-14,426
85099B,2011-02-15,54
85099B,2011-02-16,30
85099B,2011-02-17,131
85099B,2011-02-18,314
85099B,2011-02-20,30
85099B,2011-02-21,102
85099B,2011-02-22,324
85099B,2011-02-23,48
85099B,2011-02-24,161
85099B,2011-02-25,169
85099B,2011-02-27,6
85099B,2011-02-28,84
85099B,2011-03-01,288
85099B,2011-03-02,16
85099B,2011-03-03,30
85099B,2011-03-04,181
85099B,2011-03-06,25
85099B,2011-03-07,453
85099B,2011-03-08,117
85099B,2011-03-09,26
85099B,2011-03-10,41
85099B,2011-03-11,101
85099B,2011-03-14,141
85099B,2011-03-15,45
85099B,2011-03-16,10
85099B,2011-03-17,1246
85099B,2011-03-18,33
85099B,2011-03-20,71
85099B,2011-03-21,161
85099B,2011-03-22,45
85099B,2011-03-23,337
85099B,2011-03-24,315
85099B,2011-03-25,521
85099B,2011-03-28,143
85099B,2011-03-29,563
85099B,2011-03-30,331
85099B,2011-03-31,40
85099B,2011-04-01,16
85099B,2011-04-03,10
85099B,2011-04-04,329
85099B,2011-04-05,333
85099B,2011-04-06,118
85099B,2011-04-07,43
85099B,2011-04-08,118
85099B,2011-04-10,34
85099B,2011-04-11,22
85099B,2011-04-12,120
85099B,2011-04-13,40
85099B,2011-04-14,148
85099B,2011-04-15,66
85099B,2011-04-17,220
85099B,2011-04-18,169
85099B,2011-04-19,146
85099B,2011-04-20,110
85099B,2011-04-21,124
85099B,2011-04-26,190
85099B,2011-04-27,67
85099B,2011-04-28,33
85099B,2011-05-01,95
85099B,2011-05-03,51
85099B,2011-05-04,48
85099B,2011-05-05,77
85099B,2011-05-06,94
85099B,2011-05-08,110
85099B,2011-05-09,76
85099B,2011-05-10,396
85099B,2011-05-11,154
85099B,2011-05-12,237
85099B,2011-05-13,340
85099B,2011-05-15,3
85099B,2011-05-16,133
85099B,2011-05-17,161
85099B,2011-05-18,178
85099B,2011-05-19,162
85099B,2011-05-20,273
85099B,2011-05-22,71
85099B,2011-05-23,365
85099B,2011-05-24,251
85099B,2011-05-25,255
85099B,2011-05-26,6
85099B,2011-05-27,44
85099B,2011-05-29,12
85099B,2011-05-31,29
85099B,2011-06-01,21
85099B,2011-06-02,155
85099B,2011-06-03,33
85099B,2011-06-05,35
85099B,2011-06-06,123
85099B,2011-06-07,317
85099B,2011-06-08,135
85099B,2011-06-09,88
85099B,2011-06-10,72
85099B,2011-06-12,148
85099B,2011-06-13,35
85099B,2011-06-14,234
85099B,2011-06-15,313
85099B,2011-06-16,134
85099B,2011-06-17,120
85099B,2011-06-19,123
85099B,2011-06-20,356
85099B,2011-06-21,162
85099B,2011-06-22,120
85099B,2011-06-23,142
85099B,2011-06-24,31
85099B,2011-06-26,30
85099B,2011-06-27,237
85099B,2011-06-28,222
85099B,2011-06-29,60
85099B,2011-06-30,235
85099B,2011-07-01,57
85099B,2011-07-03,4
85099B,2011-07-04,51
85099B,2011-07-05,296
85099B,2011-07-06,200
85099B,2011-07-07,376
85099B,2011-07-08,434
85099B,2011-07-10,7
85099B,2011-07-11,22
85099B,2011-07-12,31
85099B,2011-07-13,76
85099B,2011-07-14,123
85099B,2011-07-15,44
85099B,2011-07-17,135
85099B,2011-07-18,71
85099B,2011-07-19,273
85099B,2011-07-20,279
85099B,2011-07-21,45
85099B,2011-07-22,40
85099B,2011-07-24,25
85099B,2011-07-25,59
85099B,2011-07-26,148
85099B,2011-07-27,162
85099B,2011-07-28,48
85099B,2011-07-29,111
85099B,2011-07-31,12
85099B,2011-08-01,348
85099B,2011-08-02,54
85099B,2011-08-03,38
85099B,2011-08-04,453
85099B,2011-08-05,134
85099B,2011-08-07,23
85099B,2011-08-08,358
85099B,2011-08-09,263
85099B,2011-08-10,557
85099B,2011-08-11,147
85099B,2011-08-12,26
85099B,2011-08-14,22
85099B,2011-08-15,62
85099B,2011-08-16,45
85099B,2011-08-17,281
85099B,2011-08-18,390
85099B,2011-08-19,100
85099B,2011-08-21,478
85099B,2011-08-22,130
85099B,2011-08-23,151
85099B,2011-08-24,1068
85099B,2011-08-25,108
85099B,2011-08-26,50
85099B,2011-08-28,11
85099B,2011-08-30,38
85099B,2011-08-31,167
85099B,2011-09-01,301
85099B,2011-09-02,153
85099B,2011-09-04,58
85099B,2011-09-05,54
85099B,2011-09-06,84
85099B,2011-09-07,265
85099B,2011-09-08,47
85099B,2011-09-09,53
85099B,2011-09-11,53
85099B,2011-09-12,83
85099B,2011-09-13,144
85099B,2011-09-14,3
85099B,2011-09-15,167
85099B,2011-09-16,119
85099B,2011-09-18,227
85099B,2011-09-19,493
85099B,2011-09-20,150
85099B,2011-09-21,419
85099B,2011-09-22,268
85099B,2011-09-23,276
85099B,2011-09-25,61
85099B,2011-09-26,220
85099B,2011-09-27,174
85099B,2011-09-28,91
85099B,2011-09-29,372
85099B,2011-09-30,66
85099B,2011-10-02,6
85099B,2011-10-03,43
85099B,2011-10-04,77
85099B,2011-10-05,361
85099B,2011-10-06,1583
85099B,2011-10-07,623
85099B,2011-10-09,22
85099B,2011-10-10,62
85099B,2011-10-11,368
85099B,2011-10-12,78
